Wrestler,2013 Wins,2013 Losses,2013 Draws,2014 Wins,2014 Losses,2014 Draws,2015 Wins,2015 Losses,2015 Draws,2016 Wins,2016 Losses,2016 Draws,Total Wins,Total Losses,Total Draws,Total Matches
Dean Ambrose,70.0,134.0,4.0,129.0,36.0,2.0,150.0,63.0,5.0,133.0,67.0,4.0,482.0,300.0,15.0,797.0
Seth Rollins,50.0,150.0,4.0,87.0,105.0,4.0,51.0,124.0,1.0,39.0,75.0,4.0,227.0,454.0,13.0,694.0
Randy Orton,129.0,63.0,8.0,33.0,87.0,5.0,81.0,10.0,1.0,39.0,21.0,0.0,282.0,181.0,14.0,477.0
Roman Reigns,49.0,140.0,5.0,118.0,28.0,4.0,187.0,19.0,7.0,142.0,12.0,5.0,496.0,199.0,21.0,716.0
Ryback,103.0,88.0,3.0,43.0,114.0,1.0,138.0,34.0,2.0,37.0,17.0,1.0,321.0,253.0,7.0,581.0
Damien Sandow,39.0,147.0,3.0,3.0,113.0,0.0,50.0,9.0,2.0,11.0,18.0,0.0,103.0,287.0,5.0,395.0
Alberto Del Rio,126.0,53.0,4.0,31.0,82.0,1.0,26.0,13.0,2.0,24.0,65.0,2.0,207.0,213.0,9.0,429.0
Dolph Ziggler,62.0,117.0,1.0,134.0,60.0,2.0,115.0,52.0,2.0,114.0,56.0,2.0,425.0,285.0,7.0,717.0
Jack Swagger,56.0,96.0,2.0,49.0,123.0,1.0,65.0,65.0,0.0,73.0,70.0,0.0,243.0,354.0,3.0,600.0
Kofi Kingston,66.0,79.0,4.0,82.0,72.0,1.0,86.0,90.0,1.0,95.0,39.0,1.0,329.0,280.0,7.0,616.0
Zack Ryder,66.0,80.0,0.0,8.0,53.0,0.0,88.0,45.0,0.0,119.0,51.0,2.0,281.0,229.0,2.0,512.0
Jey Uso,85.0,54.0,1.0,139.0,42.0,4.0,37.0,28.0,1.0,76.0,90.0,0.0,337.0,214.0,6.0,557.0
Sheamus,110.0,25.0,5.0,141.0,29.0,2.0,58.0,86.0,1.0,44.0,115.0,5.0,353.0,255.0,13.0,621.0
Jimmy Uso,85.0,52.0,1.0,143.0,43.0,4.0,82.0,36.0,3.0,70.0,80.0,0.0,380.0,211.0,8.0,599.0
Titus O'Neil,29.0,108.0,1.0,29.0,132.0,1.0,92.0,61.0,0.0,47.0,73.0,1.0,197.0,374.0,3.0,574.0
The Miz,61.0,71.0,5.0,40.0,92.0,1.0,17.0,115.0,1.0,43.0,103.0,1.0,161.0,381.0,8.0,550.0
Heath Slater,5.0,129.0,1.0,11.0,106.0,1.0,1.0,131.0,0.0,62.0,64.0,0.0,79.0,430.0,2.0,511.0
John Cena,127.0,6.0,1.0,141.0,23.0,0.0,125.0,11.0,0.0,29.0,21.0,0.0,422.0,61.0,1.0,484.0
Darren Young,28.0,100.0,1.0,26.0,8.0,0.0,87.0,47.0,2.0,74.0,28.0,2.0,215.0,183.0,5.0,403.0
R-Truth,76.0,51.0,1.0,61.0,49.0,0.0,94.0,44.0,1.0,96.0,21.0,1.0,327.0,165.0,3.0,495.0
Fandango,58.0,66.0,1.0,20.0,124.0,1.0,69.0,75.0,1.0,24.0,111.0,0.0,171.0,376.0,3.0,550.0
Kane,98.0,26.0,0.0,10.0,126.0,1.0,44.0,92.0,0.0,103.0,15.0,0.0,255.0,259.0,1.0,515.0
The Big Show,64.0,53.0,3.0,107.0,21.0,2.0,30.0,94.0,1.0,60.0,16.0,1.0,261.0,184.0,7.0,452.0
Curtis Axel,50.0,58.0,3.0,22.0,132.0,1.0,58.0,68.0,2.0,11.0,114.0,0.0,141.0,372.0,6.0,519.0
Natalya,78.0,26.0,1.0,80.0,47.0,0.0,82.0,18.0,0.0,37.0,109.0,0.0,277.0,200.0,1.0,478.0
Luke Harper,64.0,37.0,0.0,31.0,140.0,1.0,55.0,122.0,3.0,20.0,51.0,1.0,170.0,350.0,5.0,525.0
Bo Dallas,65.0,26.0,0.0,52.0,60.0,1.0,15.0,141.0,1.0,17.0,104.0,1.0,149.0,331.0,3.0,483.0
Brie Bella,30.0,59.0,2.0,51.0,19.0,1.0,41.0,58.0,0.0,7.0,9.0,0.0,129.0,145.0,3.0,277.0
Naomi,70.0,15.0,2.0,71.0,16.0,2.0,55.0,92.0,1.0,41.0,43.0,0.0,237.0,166.0,5.0,408.0
Erick Rowan,56.0,30.0,0.0,38.0,124.0,2.0,53.0,44.0,1.0,14.0,72.0,1.0,161.0,270.0,4.0,435.0
Mark Henry,50.0,31.0,1.0,49.0,22.0,1.0,17.0,23.0,1.0,20.0,12.0,0.0,136.0,88.0,3.0,227.0
Bray Wyatt,56.0,23.0,0.0,49.0,129.0,0.0,28.0,133.0,2.0,24.0,107.0,2.0,157.0,392.0,4.0,553.0
Alicia Fox,18.0,48.0,0.0,27.0,116.0,0.0,36.0,74.0,0.0,49.0,25.0,1.0,130.0,263.0,1.0,394.0
Chris Jericho,35.0,23.0,1.0,25.0,5.0,1.0,42.0,4.0,0.0,38.0,77.0,0.0,140.0,109.0,2.0,251.0
Paige,41.0,16.0,0.0,84.0,47.0,2.0,68.0,62.0,2.0,30.0,15.0,0.0,223.0,140.0,4.0,367.0
Aiden English,18.0,37.0,0.0,37.0,37.0,0.0,57.0,40.0,0.0,12.0,118.0,2.0,124.0,232.0,2.0,358.0
Emma,28.0,26.0,0.0,74.0,26.0,0.0,62.0,62.0,0.0,14.0,30.0,0.0,178.0,144.0,0.0,322.0
Sami Zayn,26.0,26.0,0.0,54.0,52.0,0.0,22.0,11.0,1.0,111.0,59.0,6.0,213.0,148.0,7.0,368.0
Sasha Banks,23.0,29.0,0.0,26.0,46.0,0.0,62.0,87.0,2.0,101.0,28.0,5.0,212.0,190.0,7.0,409.0
Xavier Woods,30.0,20.0,0.0,33.0,45.0,1.0,53.0,59.0,1.0,83.0,26.0,1.0,199.0,150.0,3.0,352.0
Sin Cara,26.0,20.0,2.0,81.0,49.0,0.0,115.0,50.0,1.0,69.0,62.0,2.0,291.0,181.0,5.0,477.0
Sin Cara,9.0,0.0,0.0,81.0,49.0,0.0,115.0,50.0,1.0,69.0,62.0,2.0,274.0,161.0,3.0,438.0
Colin Cassady,11.0,33.0,0.0,47.0,23.0,1.0,69.0,24.0,0.0,38.0,7.0,2.0,165.0,87.0,3.0,255.0
Bayley,22.0,21.0,0.0,46.0,31.0,0.0,99.0,19.0,1.0,126.0,11.0,2.0,293.0,82.0,3.0,378.0
Nikki Bella,21.0,22.0,0.0,75.0,39.0,0.0,68.0,43.0,0.0,34.0,13.0,1.0,198.0,117.0,1.0,316.0
Scott Dawson,10.0,32.0,0.0,12.0,29.0,0.0,38.0,58.0,0.0,34.0,63.0,3.0,94.0,182.0,3.0,279.0
Summer Rae,15.0,25.0,0.0,19.0,55.0,2.0,11.0,50.0,0.0,12.0,42.0,0.0,57.0,172.0,2.0,231.0
Goldust,25.0,13.0,1.0,101.0,77.0,1.0,22.0,40.0,0.0,96.0,26.0,0.0,244.0,156.0,2.0,402.0
Baron Corbin,8.0,28.0,0.0,55.0,16.0,0.0,61.0,54.0,0.0,103.0,59.0,3.0,227.0,157.0,3.0,387.0
Mojo Rawley,29.0,7.0,0.0,23.0,9.0,0.0,41.0,11.0,0.0,113.0,31.0,2.0,206.0,58.0,2.0,266.0
Charlotte,17.0,16.0,0.0,40.0,36.0,0.0,108.0,35.0,3.0,86.0,42.0,1.0,251.0,129.0,4.0,384.0
Jason Jordan,11.0,20.0,0.0,18.0,40.0,0.0,28.0,59.0,1.0,126.0,23.0,2.0,183.0,142.0,3.0,328.0
Diego,27.0,1.0,0.0,78.0,42.0,1.0,29.0,86.0,0.0,1.0,19.0,0.0,135.0,148.0,1.0,284.0
Fernando,27.0,1.0,0.0,70.0,39.0,1.0,30.0,87.0,0.0,1.0,15.0,0.0,128.0,142.0,1.0,271.0
Tyler Breeze,7.0,19.0,0.0,29.0,53.0,2.0,44.0,105.0,2.0,17.0,163.0,2.0,97.0,340.0,6.0,443.0
Sawyer Fulton,10.0,14.0,0.0,5.0,32.0,0.0,7.0,41.0,0.0,28.0,42.0,1.0,50.0,129.0,1.0,180.0
Angelo Dawkins,10.0,13.0,0.0,12.0,23.0,0.0,11.0,45.0,0.0,21.0,62.0,0.0,54.0,143.0,0.0,197.0
Enzo Amore,3.0,15.0,1.0,29.0,9.0,1.0,67.0,19.0,0.0,79.0,48.0,3.0,178.0,91.0,5.0,274.0
Eva Marie,5.0,7.0,0.0,22.0,15.0,1.0,13.0,9.0,1.0,18.0,22.0,0.0,58.0,53.0,2.0,113.0
Tye Dillinger,0.0,10.0,0.0,14.0,39.0,0.0,24.0,66.0,3.0,60.0,41.0,1.0,98.0,156.0,4.0,258.0
Kalisto,3.0,4.0,0.0,51.0,10.0,0.0,107.0,54.0,2.0,75.0,59.0,0.0,236.0,127.0,2.0,365.0
Viktor,6.0,1.0,0.0,51.0,33.0,0.0,19.0,143.0,0.0,2.0,145.0,1.0,78.0,322.0,1.0,401.0
Adam Rose,4.0,1.0,0.0,86.0,21.0,0.0,8.0,142.0,1.0,6.0,23.0,0.0,104.0,187.0,1.0,292.0
Konnor,5.0,0.0,0.0,49.0,29.0,0.0,19.0,141.0,0.0,2.0,110.0,1.0,75.0,280.0,1.0,356.0
Alexa Bliss,1.0,3.0,0.0,24.0,19.0,0.0,19.0,37.0,0.0,35.0,90.0,0.0,79.0,149.0,0.0,228.0
Becky Lynch,0.0,4.0,0.0,27.0,21.0,0.0,71.0,59.0,1.0,102.0,54.0,5.0,200.0,138.0,6.0,344.0
Simon Gotch,1.0,2.0,0.0,35.0,31.0,0.0,57.0,41.0,0.0,11.0,111.0,1.0,104.0,185.0,1.0,290.0
